singer,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Beyonce,Love On Top,0.652,0.749,-5.248,0.0886,0.0848,0.0,0.604,0.651,94.103
Billy Esteban,Amor,0.815,0.704,-7.994,0.0305,0.035,0.718,0.0923,0.82,124.002
Dua Lipa,Be the One,0.661,0.651,-3.771,0.0499,0.117,1.32e-05,0.056,0.368,87.46
Dua Lipa,New Rules,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
Post Malone,Candy Paint,0.664,0.667,-5.941,0.154,0.64,1.22e-06,0.0753,0.381,180.064
Post Malone,Up There,0.654,0.378,-8.108,0.0322,0.373,1.07e-05,0.0971,0.437,72.976
Mustafa Ceceli,Kanaryam,0.773,0.764,-3.715,0.0525,0.639,0.0,0.137,0.898,119.953
Charlie Puth,Marks On My Neck,0.855,0.607,-8.587,0.0422,0.2,1.84e-05,0.0723,0.943,142.002
Billy Esteban,Winds Melody,0.724,0.496,-11.426,0.0319,0.0585,0.909,0.131,0.489,120.025
Dua Lipa,Bad Together,0.703,0.628,-6.349,0.0284,0.0076,0.0,0.471,0.425,103.983
Beyonce,Pray You Catch Me,0.25,0.215,-13.676,0.037,0.632,0.0717,0.401,0.0746,174.824
Sam Smith,Gimme,0.682,0.446,-8.152,0.0596,0.0995,0.00172,0.431,0.746,104.855
Hiss,Biri Var,0.547,0.526,-8.239,0.149,0.869,1.72e-06,0.108,0.37,82.74
Sam Smith,No Peace,0.66,0.542,-8.11,0.077,0.343,3.89e-06,0.122,0.152,135.828
Rihanna,Rude Boy,0.563,0.75,-4.496,0.127,0.113,0.0,0.0788,0.812,173.906
Mark Eliyahu,Prayer,0.537,0.0422,-11.605,0.069,0.843,0.114,0.103,0.19,90.613
Billy Esteban,Anuska Dream,0.769,0.751,-4.683,0.0457,0.00764,0.663,0.0933,0.582,119.999
Katy Perry,Peacock,0.825,0.759,-3.121,0.0427,0.0563,0.0,0.202,0.942,139.975
